ID,Latitude,Longitude,Region,Elevation,Slope,Aspect,Hillshade,TPI,Roughness,Curvature,Rain_7d,Rain_30d,Rain_year,NDVI,NDMI,NBR,BSI,Distance_to_River,Landcover,Treecover,Cropland,Builtup,Landslide_Score,Prediction_Class,Prediction_Landslide,Ground_Truth,Observation_Time
631_0,-7.328636571633446,106.85650025349497,Sukabumi,113,8,333,192,-8.965517241379317,8,23.0,63.31240653991699,533.8642745018005,3437.741798698902,0.7879878,0.29945055,0.6123077,-0.26786804,-9999.0,10,1,0,0,1.25,2,Moderate,0,2026-04-19 10:08:07
632_0,-7.302495596865562,106.77699935085036,Sukabumi,169,7,113,160,-3.1379310344827616,7,8.0,58.1907377243042,550.415979385376,3443.403499633074,0.5000125,0.13396539,0.30657876,-0.07853352,-9999.0,10,1,0,0,0.85,1,Low,0,2026-04-19 10:08:07
633_0,-6.840312383186067,106.51936252736488,Sukabumi,908,25,200,207,-1.3103448275861638,27,21.0,68.72609519958496,576.2846689224243,4711.547309413552,0.68992245,0.23668855,0.5442739,-0.17105645,-9999.0,30,0,0,0,1.5,2,Moderate,0,2026-04-19 10:08:07
634_0,-6.965627365320749,106.39808996400876,Sukabumi,51,14,340,195,-2.4827586206896584,14,13.0,66.01125478744507,586.6848196983337,3671.2991880849004,0.7746479,0.24304266,0.5386087,-0.2128356,-9999.0,10,1,0,0,1.2000000000000002,2,Moderate,0,2026-04-19 10:08:07
635_0,-7.015214369004148,106.5878141520148,Sukabumi,25,6,180,180,-0.7586206896551708,7,7.0,57.176881313323975,517.8785700798035,3751.4682659208775,0.7657053,0.34470618,0.636751,-0.29139093,-9999.0,10,1,0,0,1.1,2,Moderate,0,2026-04-19 10:08:07
636_0,-7.342919784650938,106.71851902585422,Sukabumi,154,6,170,177,-4.34482758620689,10,15.0,55.59605026245117,543.2638454437256,3326.1430002450943,0.840099,0.3402808,0.6447602,-0.30819672,-9999.0,10,1,0,0,1.25,2,Moderate,0,2026-04-19 10:08:07
637_0,-6.756769061762959,106.54253906169515,Sukabumi,1163,1,135,177,-2.8275862068965125,2,13.0,72.67234516143799,523.863579750061,4382.153276748955,0.7907563,0.26899543,0.58694917,-0.23910445,-9999.0,10,1,0,0,0.8,1,Low,0,2026-04-19 10:08:07
638_0,-6.934635488018621,106.58458021699198,Sukabumi,458,29,298,255,-1.2413793103448256,25,41.0,61.06809949874878,669.2642250061035,4612.229877665639,0.76104933,0.2753742,0.59193546,-0.24912977,-9999.0,10,1,0,0,1.5,2,Moderate,0,2026-04-19 10:08:07
639_0,-7.245093250210324,106.88506667952993,Sukabumi,519,7,270,201,-5.551724137931046,7,19.0,57.08001232147217,501.5579209327698,3577.696618422866,0.6687086,0.28058589,0.5611421,-0.19051921,-9999.0,10,1,0,0,1.25,2,Moderate,0,2026-04-19 10:08:07
640_0,-7.280666535461457,106.6756693868017,Sukabumi,293,9,114,154,-3.8965517241379075,9,22.0,60.67081165313721,555.1106758117676,3410.9488346278667,0.7118463,0.24672344,0.52903354,-0.19024895,-9999.0,10,1,0,0,1.05,2,Moderate,0,2026-04-19 10:08:07
641_0,-7.187690903555087,106.5252914082401,Sukabumi,458,12,199,192,1.0,12,-2.0,68.34425258636475,613.2332549095154,3713.739501312375,0.717856,0.19205658,0.4769127,-0.15514451,-9999.0,10,1,0,0,1.2000000000000002,2,Moderate,0,2026-04-19 10:08:07
